Name,Image,Origin,Description
Cheesesteak,,"United States (Philadelphia, Pennsylvania)","Thinly sliced steak and melted cheese in a long roll, also known as a Philadelphia or Philly cheesesteak."
Chicken salad,,,A sandwich prepared with chicken salad as a filling.
Chickpea salad,,United States,"Chickpea salad is a vegan sandwich filling that has a texture similar to tuna salad. Chickpea salad consists of mashed up chickpeas, vegenaise, onions, and other seasonings. Some versions also include tuna."
Chili burger,,United States,"A hamburger, with the patty topped with chili con carne"
Chip butty,,United Kingdom,"Sliced white bread (or a large, flat bread roll) filled with chips usually sprinkled with salt and vinegar or tomato ketchup."
Chipped beef,,U.S. military cuisine,Sandwiches prepared with thinly sliced or pressed salted and dried beef. Some chipped beef is smoked to add flavor.
Chivito,,Uruguay,"Filet mignon with mozzarella, tomatoes, mayonnaise, and commonly bacon, black or green olives, fried or hardboiled eggs and ham"
Choripán,,Argentina,"Grilled chorizo, usually served on a crusty roll with salsa-type condiments, such as pebre, salsa criolla or chimichurri. Morcipán is a variety of this using black pudding or blood sausage."
Chow mein,,United States,A brown gravy base and chow mein mixture in a hamburger-style bun
Churrasco,,Chile,"Thinly cut steak, grilled and served on a toasted bun, usually with tomato, avocado and mayonnaise"
Club,,United States,"A triple-decker sandwich made with sliced turkey or chicken, bacon, tomato and lettuce, usually contains mayonnaise"
Corned beef,,,"Corned beef with mustard, usually on rye bread"
Crisp,,United Kingdom,Crisps and occasionally pickles on white bread
Croque-monsieur,,France,"A grilled ham and cheese (typically Emmental or Gruyère) sandwich, sometimes coated in a mornay or béchamel sauce"
Cuban,,"United States (Tampa, Florida) and Cuba","Ham, roasted pork, Swiss cheese, pickles, mustard, and sometimes Genoa salami on Cuban bread, usually pressed and warmed in a plancha"
Cucumber,,United Kingdom,"Two thin slices of crustless, lightly buttered white bread, containing paper-thin slices of peeled cucumber"
Cudighi,,Italy,"Spicy cudighi (a Michigan variety of Cotechino Italian sausage), on a long, hard roll, often topped with mozzarella and tomato sauce"
Dagwood,,United States,"Multiple layers containing a wide variety of meats and condiments, named for Dagwood Bumstead of the comic strip Blondie"
Deli sandwich,,,"Type of sandwich that may be ordered at a deli, choices include type of bread (toasted or untoasted,) type of meat (cold cut), type of sliced cheese, vegetable fillings (lettuce, tomato, onion, etc.) and condiments"
Denver,,United States,A sandwich containing a Denver omelette
Doner kebab,,Turkey,"Doner kebab is meat cooked on a vertical spit, normally veal or beef but also may be a mixture of these with lamb, and sometimes chicken that may be served wrapped in a flatbread such as lavash or pita or as a sandwich."
Donkey burger,,China,"Chopped or shredded, savory donkey meat in a bun, sold in Baoding, Hebei Province as street food, and also in high-end restaurants"
Doubles,,Trinidad and Tobago,"Two flat fried bara (bread), containing curried chickpeas or garbanzo beans"
Dynamite,,"United States (Woonsocket, Rhode Island)","Made of ground beef, tomato sauces, spices and many onions and peppers. It is a popular food served at local family gatherings and fund raising benefits, usually made in large quantities."
Dyrlægens natmad,,Denmark,"On a piece of dark rye bread, a layer of leverpostej, topped with a slice of salt beef and a slice of meat aspic, topped with raw onion rings and garden cress."
Elvis sandwich,,United States,"Peanut butter, banana, and bacon inside of two slices of bread"
Egg,,Wordwide,"

Generic sandwich: This contains eggs, usually sliced hard boiled eggs or egg salad, but may be made with fried or (more rarely) scrambled egg, topped with the local roe spread, locally called kaviar.
Egg salad sandwich: A chopped egg mixed with mayonaise.
Eggs Benedict is an open-faced sandwich consisting of an English muffin topped with meat, eggs, and hollandaise sauce.

"
Fairy bread,,Australia and New Zealand,White bread with nonpareils (= 'sprinkles' (U.S.) or 'hundreds and thousands' (U.K.)) on a spread of butter. Often cut into squares or triangles.
Falafel,,Middle East,"Deep-fried balls of ground, seasoned chickpeas topped with salad vegetables, hot sauce, tahini-based sauces, and pickled vegetables, wrapped in or added to the pocket of a split-open pita bread."
Fischbrötchen,,Germany,Crusty bread rolls filled with fish (most commonly Bismarck or soused herring) and onions
Fool's Gold Loaf,,"Colorado, United States","Consists of a single warmed, hollowed-out loaf of bread filled with one jar of creamy peanut butter, one jar of grape jelly, and a pound of bacon. In 1976, Elvis Presley and some of his friends flew to Colorado to consume them."
Fluffernutter,,United States,Peanut butter and marshmallow creme. Pictured is a fluffernutter sandwich prior to being assembled.
Francesinha,,Portugal,"Wet-cured ham, linguiça, fresh sausage (chipolata), steak or other roast meat, topped with melted cheese, a hot thick tomato, and beer sauce"
Francesinha poveira,,Portugal,"A bun with wet-cured ham, linguiça, and cheese, sauced with butter or margarine, piri-piri, and port wine, whiskey, cognac or brandy"
French dip,,United States,"Thinly sliced roast beef on a baguette, served hot, usually au jus (with juice)"
Fried brain,,United States,Sliced calves' brain on sliced bread
Ftira,,Malta,"A traditional Maltese sandwich made on a large round piece of Maltese ftira bread, topped with tomato paste, tuna, capers and red onions."
Gatsby,,South Africa,"A deli-style sandwich similar to the hoagie, often contains french fries, with other variations, prepared with masala steak, chicken, polony, Vienna sausages, calamari, fish, or chargrilled steak"
Gerber,,"Saint Louis, Missouri, United States","Half section of Italian or French bread with garlic butter, containing ham, provel or provolone cheese, topped with paprika, then toasted"
Guajolota,,Mexico (Mexico City),"A tamale inserted in a Mexican bread, bolillo, easy to find in Mexico City streets in the morning, also called torta de tamal"
Gyro,,Greece,"""Pita gyro"" or ""psomaki gyro"", depending on the type of bread used, includes meat roasted on a vertical spit, with tomato, raw, often red onion and optional yogurt sauce, wrapped in pita or sandwich bread."
Hagelslag or vlokken,,The Netherlands,Chocolate sprinkles or flakes usually served on buttered bread
Ham,,,"Ham, often with mustard"
Ham and cheese,,,"A common sandwich prepared with ham and sliced cheese. Additional ingredients may include lettuce, tomato, mayonnaise and other ingredients."
Ham and egg bun,,Hong Kong,Sliced Danish canned ham with sliced scrabbled egg sheet in a halved-sweet bun
Hamburger,,United States,"A ground beef patty, often with vegetables, sauces and other meats, usually on a round bun."
Hamdog,,,"A hot dog wrapped in a beef patty, deep-fried, then covered with chili, a few french fries, and a fried egg"
Horseshoe,,"Springfield, Illinois, United States","A thick-sliced, toasted, open-faced sandwich, it usually contains hamburger patties or ham, but other meat, such as deep-fried pork tenderloin, grilled or fried chicken breast, and fried fish filets, can be used. The meat is topped with french fries and covered with a cheese sauce."
Hot brown,,"United States (Louisville, Kentucky)","Open-faced with turkey and bacon, topped with mornay sauce, and baked or broiled"
Hot chicken,,"Quebec, Canada","Coarsely shredded or sliced chicken, sandwiched between two pieces of sliced bread, and completely covered with gravy."
Hot turkey,,United States,"Often open-faced, sliced turkey on white bread drenched in turkey gravy, often served with mashed potatoes. These are sometimes served at Hofbrau-style restaurants."
Ice cream,,United States,"Vanilla ice cream between thin biscuits, cookies or slices of cake, normally chocolate"
Italian beef,,"United States (Chicago, Illinois)","Thin slices of seasoned, juicy roast beef, often garnished with giardiniera or Italian sweet peppers, on a dense, long Italian-style roll"
Italiano,,Chile,"Not a sandwich, it refers to a set of toppings to put in a sandwich, refers to the colors of the Italian flag: red (tomato), white (mayonnaise) and green (avocado)"
Jam,,United Kingdom,"Buttered bread, with jam (traditionally strawberry), normally eaten at lunchtime or as a quick snack, may also be eaten at breakfast or for high tea"
Jambon-beurre,,France,"A French baguette with butter and ham. Also known as ""Parisien"", it is the most popular sandwich in France."
Jibarito,,United States,"Meat, cheese, lettuce and tomato, between flattened, fried green plantains (instead of bread), with garlic-flavored mayonnaise"
Jucy Lucy,,United States,A cheeseburger with the cheese inside the meat patty rather than on top
Katsu sando,,Japan,"Breaded, deep-fried pork cutlet (tonkatsu)"
Kokoretsi,,,"Lamb or goat intestines, containing seasoned offal"
Kottenbutter,,Germany,"Buttered brown bread with smoked pork sausage (Kottenwurst), fresh onion rings and spicy mustard"
Leberkäse,,"Southern Germany, Austria and Switzerland","Leberkäse is a meatloaf-like dish which, despite the name, contains neither liver nor cheese. It is commonly served on a Kaiser roll with mustard."
Lettuce,,,Lettuce and mayonnaise
Limburger sandwich,,,"They are typically prepared with buttered rye bread, Limburger cheese, sliced onion and mustard. Pictured is Limburger cheese and bread."
Lobster roll,,Northeastern United States,"Lobster meat tossed with either mayonnaise (""cold"") or drawn butter (""hot"") stuffed into a slit opening at the top of a grilled bread roll or hot dog bun."
Lox,,United States,"Lox on a bagel with cream cheese, thinly sliced onion, capers and possibly sliced tomato"
Luther burger,,United States,A hamburger or cheeseburger with a glazed doughnuts instead of a bun
Marmite,,United Kingdom,Marmite spread thinly with butter or margarine onto toast or bread
Martino,,Belgium,"Filet américain (steak tartare) with Worcestershire sauce, pickles, onions, peppers and martino sauce"
Meatball,,United States,"Meatballs in marinara sauce, with melted Parmesan or provolone cheese, on a long bun or section of Italian loaf. Might include Italian-style accompaniments such as bell peppers, basil, or Italian-dressed lettuce"
Medianoche,,Cuba,"Roast pork, ham, mustard, Swiss cheese, and dill pickles served on sweet bread."
Mitraillette,,Belgium,French fries and fried meat with sauce on a demi-baguette.
Melt,,United States,"A generic sandwich containing a filling, and a layer of cheese, grilled or fried until the cheese is melted"
Mettbrötchen,,Germany,"Open sandwich consisting of a sliced bun, topped with Mett (seasoned minced pork without bacon), frequently with a garnish of raw onion rings or diced raw onion"
Mollete,,Spain and Mexico,"A typical food of Mexico and a kind of bread in Spain. In Mexico, Molletes are prepared with melted cheese and beans with other ingredients, such as salsa, ham or bacon."
Montadito,,Spain,"Minute and usually grilled, could be filled with anything. Some bars offer a variety of 200 different types of these sandwiches.[citation needed]"
Monte Cristo,,United States,"Sliced ham and cheese (usually Emmental or Gruyère) between slices of French toast and batter-fried. In some regions it is sprinkled with powdered sugar and served with jelly or jam). In other regions (New England), it is served savory with French mustard and no powdered sugar."
Montreal-style smoked meat,,Canada,"A sandwich made from cured and smoked brisket with yellow mustard, usually on rye bread."
Mortadella,,Brazil,"Any sandwich containing mortadella, a large Italian sausage"
Mother-in-law,,United States,"A hot dog bun containing a Chicago-style corn-roll tamale, topped with chili"
Muffuletta,,United States,"Originated in New Orleans' Italian-American community, meats, cheeses, and olive salad on a round bun"
Beschuit met muisjes,,The Netherlands,"Biscuit smeared with butter and topped with sugared aniseed balls, traditionally served in celebration of a birth"
Naan sandwich,,Pakistan,A sandwich that consists of hamburger made with naan bread. Sometimes ham is used instead of beef.
Open-faced sandwich,,Nordic,Consists of a single slice of bread with one or more food items on top. See also pizza.
Pambazo,,Mexico,Made with pambazo bread dipped in a red guajillo pepper sauce and filled with potatoes with chorizo.
Pan-bagnat,,France,"Round bread (bread bagnats) opened in two, rub each half with a clove of garlic, moisten with vinegar, olive oil, salt and pepper, the choice can be added green salad, tomatoes, hard boiled eggs, tuna, anchovies, cucumbers, fava beans, small fresh artichokes, green peppers, radishes, fresh spring onions, basil and black olives of Nice. Serve chilled."
Panini,,Italy,"In Italy, panino is the word for a sandwich made from bread other than sliced bread, in which case Italians call it a tramezzino. Examples of bread types used are ciabatta, rosetta and baguette. The bread is cut horizontally and filled with deli ingredients such as salami, ham, cheese, mortadella, or other food, and sometimes served warm after having been pressed by a warming grill. In the United States, United Kingdom and Canada, the term panini has been adopted to refer to a pressed and toasted sandwich; there is widespread availability and use of sandwich presses, often known as ""panini presses"" or ""toasted sandwich makers."""
Patty melt,,United States,"Consists of a hamburger patty, pieces of sautéed or grilled onion and Cheddar or Swiss cheese between two slices of bread"
Peanut butter and jelly,,United States,Jam is often used in place of jelly. Also known as a 'PB&J'.
Pebete,,Argentina,"A simple Argentine sandwich, traditionally filled with cheese, cured meat, tomato and mayonnaise. The term pebete actually refers to the bread used for the sandwich; a soft oval bun with a spongy inside, and a thin toasted crust."
Pistolette,,,A stuffed and fried bread roll (sometimes called stuffed pistolettes) in the Cajun areas around Lafayette. Also refers to a type of submarine shaped bread about half the size of a baguette that is popular in New Orleans for Vietnamese bánh mì and other sandwiches.
Pljeskavica,,Serbia,"A patty dish popular in the Balkan region of Southeastern Europe, a sandwich utilizes the Pljeskavica patty and bread."
Ploughman's lunch,,United Kingdom,"A cold meal originating in the United Kingdom, commonly served in pubs. Its core components are (cheddar) cheese, ploughman's pickle and bread. It is traditionally eaten with beer."
Po' boy,,United States,A crusty bread loaf typically filled with fried seafood or roast beef.
Polish boy,,United States,"Kielbasa sausage in a bun, covered with french fries, barbecue sauce (or hot sauce), and coleslaw"
Porilainen,,Finland,"A half-inch slice of thick sausage, usually with diced red or sweet onion, sliced pickles, ketchup, mustard, and sometimes mayonnaise, on white bread"
Pork chop bun,,Macau,"A popular dish in Macau, the bun is extremely crisp outside and very soft inside, and a freshly fried pork chop is filled into the bun horizontally."
Pork tenderloin,,United States,"The Pork Tenderloin sandwich features a thin, tenderized deep fried pork loin,usually served on a bun."
Prawn roll,,Australia
Primanti,,"Pittsburgh, Pennsylvania, United States","Selection of grilled meats topped with french fries, coleslaw, and tomato on Italian bread"
Prosperity Sandwich,,United States (St. Louis),Ham and turkey topped with broiled cheese. Sometimes includes bacon and tomato.
Pudgy Pie,,United States,"This sandwich can be made in a pan. Margarine on the outside, pizza sauce and fillings on the inside. The term ""pudgy pie"" is sometimes used to refer to pie irons, a gadget used for campfire cooking."
Pulled pork sandwich,,Southern United States,"Form of barbecue in which pork is cooked using a slow cook method until the meat becomes tender enough that it can be ""pulled"", or easily broken into individual pieces"
Reuben,,United States,"Corned beef, sauerkraut, Swiss cheese, topped with Russian or Thousand Island dressing, on rye bread, then grilled"
Roti john,,Malaysia,"Basic ingredients are eggs, chopped onions, sambal paste, salt and pepper cooked as an omelette with the bread added on top before it's fully cooked. Many variation includes canned sardines, chicken, beef, mutton. Garnished with mayo, chili sauce and cheese slice."
Rou jia mo,,China,"Stewed pork, chopped finely, and stuffed in mo, a kind of flatbread"
Runza,,United States,"A bun filled with a mixture of (usually) loose meat, cabbage, and cheese. The fillings are baked inside the bread, similar to a kolache. Popular in the Midwestern United States, especially Nebraska."
Sandwich loaf,,United States,Alternating layers of bread and filling frosted to resemble a layer cake
De miga,,Argentina,"Made with single-, double- or triple-layered, buttered, thin white bread with crust removed, toasted or untoasted, contains thinly sliced meat and may include ham, eggs, cheese, tomatoes, green peppers, lettuce, olives, and sometimes other vegetables, even asparagus."
Salt beef bagel,,United Kingdom,"Especially noted from Beigel Bake in Brick Lane, east London."
Sausage,,United Kingdom and Germany,"Sausages, may be pork, beef or vegetarian. Served with red sauce, brown sauce or no sauce at all."
Shawarma,,The Levant,"Flat bread with fillings of beef, spinach, tomatoes, cucumber, tahini sauce wrapped and grilled. Other toppings to can be added."
Slider,,United States,"Essentially a miniature hamburger about three inches in diameter, but may contain other ingredients besides a hamburger patty"
Sloppy joe,,United States,"Ground meat, usually beef, cooked with seasoned tomato sauce and served on a round bun."
Sloppy joe (New Jersey),,United States,"A triple decker rye bread sandwich made with one or more types of sliced deli meat, such as turkey, ham, pastrami, corned beef, roast beef, or sliced beef tongue, along with Swiss cheese, coleslaw, and Russian dressing"
S'more,,United States,A square of thin chocolate bar topped with a toasted marshmallow between two squares of graham cracker
Smörgåstårta,,Sweden,"Multiple layers of white or light rye bread containing creamy fillings, such as egg and mayonnaise, liver paté, olives, shrimp, ham, various cold cuts, caviar, tomato, cucumber, cheese and smoked salmon"
Smørrebrød,,Denmark,"Open-faced, buttered dark rye bread with cold cuts, pieces of meat or fish, cheese or spreads"
Sol over Gudhjem,,Denmark,"An open-faced sandwich on rugbrød, with smoked herring, chives and a raw egg yolk"
Souvlaki,,Greece,"A sizzling skewer of lamb, beef, pork or chicken roasted on a vertical grill, shaved off the spit, and marinade ranging from hot barbecue to sweet, all laid out on a rolled pita bread, sprinkled with your choice of lettuce, tomato, cheese, red onion, oregano and doused with tzatziki sauce."
Spiedie,,United States,"Marinated cubes of chicken, pork, lamb, veal, venison or beef, grilled on a spit, and served in a bun"
St. Paul,,"Saint Louis, Mo, United States","An egg foo young patty (containing bean sprouts and minced white onions), dill pickle slices, white onion, mayonnaise, lettuce, and tomato on white bread"
Steak bomb,,United States,"A grilled, over-stuffed submarine roll, containing shaved steak, and topped with salami, melted provolone, sautéed onions, and bell peppers."
Steak,,United States,"Prepared with steak that has been broiled, fried, grilled, barbecued or seared using steel grates or gridirons then served on bread or a roll. Steak sandwiches may include toppings such as cheese, onions, mushrooms, bell peppers, hot peppers, tomatoes, and in some instances fried eggs, cole slaw, and french fries."
Submarine/Sub sandwich/Baguette,,United States,"A generic sandwich served on a long French or Italian roll which may contain a wide variety of sliced meats, vegetables, and condiments, including lettuce, tomato, sweet peppers, onions, olives, and/or mushrooms. Also known regionally as a hero, a hoagie, a grinder, or a zep, among other names. In the United Kingdom it is named a baguette, after the French bread used to make it."
Tavern,,United States,"Common in Iowa, consists of a mixture of unseasoned ground beef and sauteed onions, sometimes topped with pickles, ketchup and mustard, on a bun"
Tea,,United Kingdom,"Thinly sliced white bread with crusts removed, lightly buttered, containing a light spread of cream cheese or mayonnaise mixture, and often radishes, cucumber, asparagus, or watercress. Other fillings may be pimento cheese, ham with mustard, smoked salmon, fruit jam, curried chicken, and egg salad."
The Scooch,,United States,"Contains hot sopressata, capicola, and primadonna cheese, on a ciabatta roll, grilled, with balsamic vinegar, extra virgin olive oil, roasted red peppers, and sliced hot cherry peppers"
"TLT (Tempeh, Lettuce, and Tomato)",,United States,"Vegan version of the BLT: Smoky baked tempeh, lettuce, tomato and avocado served sourdough toasted bread"
Toast,,UK,"A thin slice of toast between two thin slices of bread with a layer of butter, and adding salt and pepper to taste."
Toast Hawaii,,Germany,"A slice of toast with ham, a maraschino cherry in the middle of a pineapple slice, and cheese, grilled from above, so the cheese starts to melt"
Toastie,,Australia,"Two slices of bread with cheddar-like cheese (and sometimes ham) in between, which is then toasted or grilled"
Tofu Sandwich,,United States,Tofu with veggies. Typically broiled or baked tofu.
Tongue toast,,,"Sautéed beef tongue and scrambled eggs, served open-faced ada pav"
Torta,,México,"Round roll stuffed with sliced meat, sauce, and other ingredients, often made ahead and tightly wrapped to meld the filling with the bread."
Torta ahogada,,México (Guadalajara),"Birote bread (bolillo) sliced open on one side, and filled with chopped, fried pork, and sometimes chicken or shredded meat, beans and cheese, served submerged in a sauce made mostly of a dried chile de árbol."
Tramezzino,,Italy,"Triangular white bread with the crusts removed, with fillings such as tuna and olive and prosciutto, served in Italian bars throughout the day"
Tripleta,,Puerto Rico,"Although there are numerous variations, the main distinction is a combination of three meats, typically grilled, such as beef (usually churrasco steak or cube steak), roast pork (pernil), chicken, and ham. Condiments may include some combination of mustard, ketchup, and mayonnaise, often combined to create a “special” sauce. Popular toppings include thin crispy fried potato sticks or shoe string potatoes, thinly sliced cabbage, lettuce, onion, tomato, pickles, and Swiss cheese. The sandwich is often finished in a sandwich press until bread is toasted."
Tuna,,United States,Usually made with tuna salad and includes ingredients such as mayonnaise and celery. Other common variations include the tuna boat and tuna melt.
Vada pav,,India,A potato fritter coated in chickpea flour (batata vada) in a bun
Vegemite,,Australia,"Vegemite is a dark brown Australian food paste made from used brewers' yeast extract, a by-product of beer manufacturing, various vegetables, wheat and spice additives. It is a spread for sandwiches, toast, crumpets and cracker biscuits as well as a filling for pastries."
Vegetable,,,Many types of vegetables are used to prepare vegetable sandwiches.
Welsh rarebit,,United Kingdom,"A hot melted cheese sauce, poured over slices (or other pieces) of toasted bread. Or the hot cheese sauce may be served in a bowl accompanied by the toast."
Wrap,,,"Flat bread (often a tortilla) tightly wrapped around the sandwich filling with the ends tucked in to form a neat bundle, fillings can vary widely"
Wurstbrot (sausage bread),,Germany,A simple and common German sandwich prepared with thin slices of lunch meat or sausage. Sometimes butter is added to add flavor.
Yakisoba-pan,,Japan,"A hot dog bun stuffed with fried noodles, frequently topped with pickles, such as beni shōga, with mayonnaise"
Zapiekanka,,Poland,"A halved baguette or other bread usually topped with mushrooms and cheese, ham or other meats, and vegetables"
